COD. ÁREA,ÁREAS,COD. PERFIL,OFERTAS FORMATIVAS,CARGA HORARIA HS. RELOJ,REQUISITOS DE INGRESO,CERTIFI-CADO,CERTIFI-CACION,PROGRAMACIÓN,INSTRUMENTO LEGAL,OBSERVACIONES
,,14,AUXILIAR EN PRODUCCIÓN DE ESPECIES  NATIVAS,125,Lecto escritura y Cálculo,Nivel I,Ministerial,Rev. STFP II H, Expediente Nº 58/14,
,,15,OPERARIO DE EXTRACCIÓN DE ACEITES ESCECIALES,125,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2019, Expediente Nº 92/19,
,,16,ELABORADOR/A DE COMPOST Y SUSTRATOS,200,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia,Res. CFE Nro. 482/24 Anexo VI,
,,17,ARMADOR DE INVERNÁCULOS,180,Primaria o Equivalente,Nivel II,Ministerial,,Res. CFE Nro. 482/24 Anexo VII,
XXI,MECÁNICA AUTOMOTRIZ ,02,AUXILIAR  ELECTRICISTA DEL AUTOMOTOR,250,Primaria o Equivalente,Nivel II,Ministerial  ,DC - FORM - 03 - Nuevo - STFP II H,Elaborado por. Área de Evaluación  Expediente Nº 61/14,Elaborado por. Área de Evaluación  Expediente Nº 61/14
,,03,ELECTRICISTA  DE AUTOMOTORES,500, Ciclo Básico o EGB 3,Nivel III,Ministerial  ,Marco de Referencia,Por Res. CFE Nº 149/11 Anexo 01,
,,05,AUXILIAR MECÁNICO DE MOTORES NAFTEROS,250,Primaria o Equivalente,Nivel II,Ministerial,Diseño Curricular , Res. 36/15 ME-Chubut - Res.  RINET-Homologación N° 368/16,
,,08,MECÁNICO DE SISTEMAS DE ENCENDIDO Y ALIMENTACIÓN,440,Ciclo Básico o EGB 3,Nivel III,Ministerial,Marco de Referencia,Por Res. CFE N° 48/08 Anexo 02,
,,09,MECÁNICO DE SISTEMAS DE INYECCIÓN DIESEL,440,Ciclo Básico o EGB 3,Nivel III,Ministerial ,Diseño Curricular , Res. 36/15 ME-Chubut - Res.  RINET-Homologación N° 368/16,
,,10,MECÁNICO INSTALADOR DE EQUIPOS DE GNC,440,Secundaria o Equivalente,Nivel III,Ministerial  ,Marco de Referencia, Por Res. CFE N° 108/10 Anexo 13,
,,11,MECÁNICO DE TRANSMISIONES ,400,Ciclo Básico o EGB 3,Nivel III,Ministerial  ,, Por Res. CFE N° 178/12 Anexo 03,
,,12,MECÁNICO DE SIST. DE SUSPENSIÓN Y DIRECCIÓN DEL AUTOMOTOR,400,Ciclo Básico o EGB 3,Nivel III,Ministerial ,, Por Res. CFE N° 178/12 Anexo 04,
,,13,MECÁNICO DE SISTEMAS DE FRENOS,480,Ciclo Básico o EGB 3,Nivel III,Ministerial  ,,Por Res. CFE N° 48/08 - Anexo 01,
,,14,CHAPISTA DE AUTOMOTORES,350,Primaria o Equivalente,Nivel II,Ministerial  ,, Por Res. CFE N° 178/12 Anexo 05,
,,15,PINTOR DE AUTOMOTORES,280,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res. CFE N° 178/12 Anexo 06,
,,16,MECANICO DE SISTEMA DE AIRE ACONDICIONADO Y CALEFACION,250,Ciclo Básico o EGB 3,Nivel III,Ministerial ,Rev. STFP II B,A COMPLETAR,A COMPLETAR
,,17,GOMERO BALANCEADOR,180,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia,Por Res. CFE N° 130/11 Anexo 05,
,,18,MECÁNICO ELECTRÓNICO DE AUTOMOTORES,800,Secundaria o Equivalente,Nivel III,Ministerial  ,,Por Res. CFE Nº 149/11 Anexo 03,
,,19,RECTIFICADOR DE MOTORES DE COMBT. INTERNA,480,Ciclo básico o EGB 3,Nivel III,Ministerial,,Por Res. CFE Nº 149/11 Anexo 04,
,,20,MECÁNICO DE MOTOS,600,Secundario o Equivalente,Nivel III,Ministerial  ,,Por Res. CFE Nº 149/11 Anexo 02,
XXII, MECÁNICA AGRÍCOLA ,01,MECÁNICO DE MOTORES DE 2 Y 4 TIEMPOS DE BAJA CILINDRADA,250,Ciclo Básico o EGB 3,Nivel III,Ministerial  ,DC - FORM - 03 - Equipo de diseño 2023,,
XXIII,ACTIVIDAD VIAL Y TRANSPORTE ,01,AUXILIAR EN TOPOGRAFÍA.,375,Secundaria o Equivalente + Manejo de PC y Dibujo Técnico,Nivel III,Ministerial  ,DC - FORM - 03 - STFP II H,Expediente N° 72/16 ,
XXIV, MECÁNICA NAVAL ,01,CALDERERO NAVAL,300,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia,Res. CFE Nro. 482/24 Anexo I,
,,02,MECÁNICO NAVAL,540,Ciclo Básico de ETP o Secundario Orientado,Nivel III,Ministerial,,Res. CFE Nro. 482/24 Anexo III,
XXV,CONSTRUCCIONES CIVILES,01,AUXILIAR EN CONSTRUCCIONES,125,Lecto  escritura y Cálculo,Nivel I,Ministerial ,Marco de Referencia, Por Res. CFE N° 108/10 Anexo 03,
,,02,ARMADOR Y MONTADOR DE ANDAMIOS P/Ob. Civiles,180,Primaria o Equivalente,Nivel II,Ministerial ,,Por Res. CFE Nº 150/11 Anexo 03,
,,03,ALBAÑIL ,250,Primaria o Equivalente,Nivel II,Ministerial  ,,Por Res. CFE N° 108/10 Anexo 01 ,
,,04,EJECUTOR DE REVOQUES Y TERMINACIONES,125,Auxiliar en Construcciones,Nivel I,Ministerial,Rev. STFP II C,,
,,05,CARPINTERO PARA HORMIGÓN ARMADO,125,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia, Por Res. CFE N° 108/10 Anexo 07,
,,06,ARMADOR DE HIERRO PARA HORMIGÓN ARMADO,125,Primaria o Equivalente,Nivel II,Ministerial  ,, Por Res. CFE N° 108/10 Anexo 02,
,,07,COLOCADOR DE REVESTIMIENTOS CON BASE HÚMEDA,250,Primaria o Equivalente,Nivel II,Ministerial,, Por Res.CFE N° 108/10 Anexo 08,
,,08,AUXILIAR EN INSTALACIONES SANITARIAS Y DE GAS DOMICILIARIAS,81,Lecto escritura y Cálculo,Nivel I,Ministerial  ,DC - FORM - 03 - Equipo de Diseño 2024, Por Res. CFE N° 204/13 Anexo II- Reemplaza a Res. Nº 108-10,
,,09,MONTADOR DE INSTALACIONES SANITARIAS DOMICILIARIAS,250,Primaria o Equivalente,Nivel II,Ministerial ,Marco de Referencia, Por Res. CFE N° 108/10 Anexo 10,
,,12,AUXILIAR EN CONSTRUCCIÓN EN SECO - con componentes livianos,70,Lecto Escritura,Nivel I,Ministerial,DC - FORM - 03 - Equipo de Diseño 2024,Por Res. CFE Nº 150/11 Anexo 06,
,,15,YESERO,250,Primaria o Equivalente,Nivel II,Ministerial ,Marco de Referencia,Por Res. CFE Nº 150/11 Anexo 09,
,,16,COLOCADOR DE REVESTIMIENTOS DECORATIVOS Y FUNCIONALES,250,Primaria o Equivalente,Nivel II,Ministerial ,,Por Res. CFE Nº 150/11 Anexo 07,
,,17,COLOCADOR DE ADOQUINES PARA PAVIMENTO URBANO,125,Lecto  escritura y Cálculo,Nivel I,Ministerial ,Rev. STFP II C,,
,,18,AUXILIAR TECHISTA,125,Primaria o Equivalente,Nivel II,Ministerial ,Rev. STFP II B,,
,,19,TECHISTA DE FALDONES INCLINADOS,250,Primaria o Equivalente,Nivel II,Ministerial ,Marco de Referencia, Por Res. CFE N° 108/10 Anexo 11,
,,20,PINTOR DE OBRA,180,Primaria o Equivalente,Nivel II,Ministerial ,,Por Res. CFE Nº 150/11 Anexo 08,
,,21,AUXILIAR GAVIONERO,125,Primaria o Equivalente,Nivel II,Ministerial ,DC FORM. 03 FP Nuevo STFP II - I,Expediente N° 67/15,
,,25,CONFORMADOR DE BLOQUES Y ADOQUINES DE HORMIGÓN,125,Primaria o Equivalente,Nivel I,Ministerial,DC - FORM - 03 - Equipo de diseño 2022,,
,,27,MONTADOR/A DE ENTRAMADO DE MADERA,320,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia,Res. CFE Nro. 482/24 Anexo II,
XXVI, ELECTRÓNICA,01,MANTENIMIENTO Y REPARACIÓN DE EQUIPOS ELECTRÓNICOS,250,Ciclo Básico o EGB 3,Nivel III,Ministerial,DC - FORM - 03 - Equipo de diseño 2023,,
XXVII,ENERGÍA ELÉCTRICA,01,AUXILIAR EN INSTALACIONES ELÉCTRICAS DOMICILIARIAS  ,125,Lecto  escritura y Cálculo,Nivel I,Ministerial ,Diseño Curricular , Res. 36/15 ME-Chubut - Res.  RINET-Homologación N° 372/16,
,,04,INSTALADOR DE SIST. DE MUY BAJA TENSIÓN (MTB),250,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia, Por Res- CFE 178/12 Anexo 10,
